Status,Gender,Department,Count
Admit,Male,Astronomy,512
Reject,Male,Astronomy,313
Admit,Female,Astronomy,89
Reject,Female,Astronomy,19
Admit,Male,Biology,22
Reject,Male,Biology,351
Admit,Female,Biology,24
Reject,Female,Biology,317
Admit,Male,Law,138
Reject,Male,Law,279
Admit,Female,Law,131
Reject,Female,Law,244
Admit,Male,Physics,353
Reject,Male,Physics,207
Admit,Female,Physics,17
Reject,Female,Physics,8
Admit,Male,Psychology,120
Reject,Male,Psychology,205
Admit,Female,Psychology,202
Reject,Female,Psychology,391
Admit,Male,Sociology,53
Reject,Male,Sociology,138
Admit,Female,Sociology,94
Reject,Female,Sociology,299
